"Country";"Region";"Hemisphere";"HappinessScore";"HDI";"GDP_PerCapita";"Beer_PerCapita";"Spirit_PerCapita";"Wine_PerCapita";"logwine";"loggdp"
"Denmark";"Western Europe";"north";7,526;928;53,579;224;81;278;2,44404479591808;1,72899460366311
"Switzerland";"Western Europe";"north";7,509;943;79,866;185;100;280;2,44715803134222;1,90236193381986
"Iceland";"Western Europe";"north";7,501;933;60,53;233;61;78;1,89209460269048;1,78197067391255
"Norway";"Western Europe";"north";7,498;951;70,89;169;71;129;2,11058971029925;1,85058497635203
"Finland";"Western Europe";"north";7,413;918;43,433;263;133;97;1,98677173426624;1,63781982794497
"Canada";"North America";"north";7,404;922;42,349;240;122;100;2;1,62684315965824
"Netherlands";"Western Europe";"north";7,339;928;45,638;251;88;190;2,27875360095283;1,65932660401972
"New Zealand";"Australia and New Zealand";"south";7,334;915;40,332;203;79;175;2,24303804868629;1,6056497585171
"Australia";"Australia and New Zealand";"south";7,313;938;49,897;261;72;212;2,32633586092875;1,6980744349498
"Sweden";"Western Europe";"north";7,291;932;51,845;152;60;186;2,26951294421792;1,71470687881347
"Israel";"Middle East and Northern Africa";"north";7,267;902;37,181;63;69;9;0,954242509439325;1,57032106614168
"Austria";"Western Europe";"north";7,119;906;44,731;279;75;191;2,28103336724773;1,65060860730808
"United States";"North America";"north";7,104;922;57,589;249;158;84;1,92427928606188;1,76033953732045
"Costa Rica";"Latin America and Caribbean";"north";7,087;791;11,733;149;87;11;1,04139268515823;1,06940907067179
"Germany";"Western Europe";"north";6,994;934;42,233;346;117;175;2,24303804868629;1,62565193241164
"Brazil";"Latin America and Caribbean";"south";6,952;758;8,639;245;145;16;1,20411998265592;0,936463474004747
"Belgium";"Western Europe";"north";6,929;915;41,261;295;84;212;2,32633586092875;1,61553974930895
"Ireland";"Western Europe";"north";6,907;934;64,1;313;118;165;2,21748394421391;1,80685802951882
"Luxembourg";"Western Europe";"north";6,871;904;100,739;236;133;271;2,43296929087441;2,0031976354572
"Mexico";"Latin America and Caribbean";"north";6,778;772;8,444;238;68;5;0,698970004336019;0,926548224635619
"Singapore";"Southeastern Asia";"north";6,739;930;55,243;60;12;11;1,04139268515823;1,74227725513592
"United Kingdom";"Western Europe";"north";6,725;920;40,412;219;126;195;2,29003461136252;1,60651034431719
"Chile";"Latin America and Caribbean";"south";6,705;842;13,961;130;124;172;2,23552844690755;1,14491652709285
"Panama";"Latin America and Caribbean";"north";6,701;785;14,333;285;104;18;1,25527250510331;1,15633710087081
"Argentina";"Latin America and Caribbean";"south";6,65;822;12,654;193;25;221;2,34439227368511;1,10222783012313
"Czech Republic";"Central and Eastern Europe";"north";6,596;885;18,484;361;170;134;2,12710479836481;1,26679595984667
"United Arab Emirates";"Middle East and Northern Africa";"north";6,573;862;38,518;16;135;5;0,698970004336019;1,58566372882857
"Uruguay";"Latin America and Caribbean";"south";6,545;802;15,298;115;35;220;2,34242268082221;1,18463465658627
"Malta";"Western Europe";"north";6,488;875;24,771;149;100;120;2,07918124604762;1,39394353931557
"Colombia";"Latin America and Caribbean";"north";6,481;747;5,757;159;76;3;0,477121254719662;0,760196229455134
"France";"Western Europe";"north";6,478;899;36,87;127;151;370;2,56820172406699;1,56667313760612
"Thailand";"Southeastern Asia";"north";6,474;748;5,979;99;258;1;0;0,77662855342015
"Qatar";"Middle East and Northern Africa";"north";6,375;855;59,324;1;42;7;0,845098040014257;1,77323042622958
"Spain";"Western Europe";"north";6,361;889;26,617;284;157;112;2,04921802267018;1,4251591045997
"Guatemala";"Latin America and Caribbean";"north";6,324;649;4,141;53;69;2;0,301029995663981;0,617105230502378
"Suriname";"Latin America and Caribbean";"north";6,269;719;5,871;128;178;7;0,845098040014257;0,768712080377664
"Bahrain";"Middle East and Northern Africa";"north";6,218;846;22,561;42;63;7;0,845098040014257;1,35335834552659
"Trinidad and Tobago";"Latin America and Caribbean";"north";6,168;785;16,352;197;156;7;0,845098040014257;1,21357087845462
"Venezuela";"Latin America and Caribbean";"north";6,084;766;15,692;333;100;3;0,477121254719662;1,1956782994575
"Slovakia";"Central and Eastern Europe";"north";6,078;853;16,53;196;293;116;2,06445798922692;1,21827285357145
"El Salvador";"Latin America and Caribbean";"north";6,068;679;3,769;52;69;2;0,301029995663981;0,576226137449605
"Nicaragua";"Latin America and Caribbean";"north";5,992;657;2,144;78;118;1;0;0,331224781020732
"Uzbekistan";"Central and Eastern Europe";"north";5,987;703;2,106;25;101;8;0,903089986991944;0,323458366849468
"Italy";"Western Europe";"north";5,977;878;30,669;85;42;237;2,3747483460101;1,4866996155142
"Ecuador";"Latin America and Caribbean";"north";5,976;749;6,019;162;74;3;0,477121254719662;0,77952434332479
"Belize";"Latin America and Caribbean";"north";5,956;709;4,96;263;114;8;0,903089986991944;0,695481676490197
"Japan";"Eastern Asia";"north";5,921;907;38,972;77;202;16;1,20411998265592;1,59075269387778
"Kazakhstan";"Central and Eastern Europe";"north";5,919;797;7,715;124;246;12;1,07918124604762;0,887335930399167
"Moldova";"Central and Eastern Europe";"north";5,897;697;1,913;109;226;18;1,25527250510331;0,281714970027296
"Russian Federation";"Central and Eastern Europe";"north";5,856;815;8,748;247;326;73;1,86332286012046;0,941908774365599
"Poland";"Central and Eastern Europe";"north";5,835;860;12,415;343;215;56;1,7481880270062;1,09394672389058
"South Korea";"Eastern Asia";"north";5,835;900;27,105;140;16;9;0,954242509439325;1,43304941161661
"Bolivia";"Latin America and Caribbean";"south";5,822;689;3,117;167;41;8;0,903089986991944;0,49373680227684
"Lithuania";"Central and Eastern Europe";"north";5,813;855;14,913;343;244;56;1,7481880270062;1,17356501785866
"Belarus";"Central and Eastern Europe";"north";5,802;805;5,023;142;373;42;1,6232492903979;0,700963178159549
"Slovenia";"Central and Eastern Europe";"north";5,768;894;21,65;270;51;276;2,44090908206522;1,33545790068938
"Peru";"Latin America and Caribbean";"south";5,743;748;6,031;163;160;21;1,32221929473392;0,780389328470953
"Turkmenistan";"Central and Eastern Europe";"north";5,658;705;6,389;19;71;32;1,50514997831991;0,80543288813214
"Mauritius";"Sub-Saharan Africa";"north";5,648;788;9,682;98;31;18;1,25527250510331;0,985965078304871
"Latvia";"Central and Eastern Europe";"north";5,56;844;14,07;281;216;62;1,79239168949825;1,14829409743475
"Cyprus";"Western Europe";"north";5,546;867;23,541;192;154;113;2,05307844348342;1,37182490732889
"Paraguay";"Latin America and Caribbean";"south";5,538;702;4,078;213;117;74;1,86923171973098;0,610447221442121
"Romania";"Central and Eastern Europe";"north";5,528;807;9,532;297;122;167;2,22271647114758;0,979184033674419
"Estonia";"Central and Eastern Europe";"north";5,517;868;17,737;224;194;59;1,77085201164214;1,24888016602429
"Jamaica";"Latin America and Caribbean";"north";5,51;732;4,879;82;97;9;0,954242509439325;0,688330818112266
"Croatia";"Central and Eastern Europe";"north";5,488;828;12,299;230;87;254;2,40483371661994;1,08986980150955
"Turkey";"Middle East and Northern Africa";"north";5,389;787;10,863;51;22;7;0,845098040014257;1,03594977953667
"Jordan";"Middle East and Northern Africa";"north";5,303;735;4,088;6;21;1;0;0,611510887126656
"Azerbaijan";"Central and Eastern Europe";"north";5,291;757;3,881;21;46;5;0,698970004336019;0,588943642740015
"Philippines";"Southeastern Asia";"north";5,279;696;2,951;71;186;1;0;0,46996920949996
"China";"Eastern Asia";"north";5,245;748;8,117;79;192;8;0,903089986991944;0,909395545967106
"Kyrgyzstan";"Central and Eastern Europe";"north";5,185;669;1,22;31;97;6;0,778151250383644;0,0863598306747482
"Serbia";"Central and Eastern Europe";"north";5,177;785;5,426;283;131;127;2,10380372095596;0,734479789425577
"Bosnia and Herzegovina";"Central and Eastern Europe";"north";5,163;766;4,809;76;173;8;0,903089986991944;0,682054777073807
"Montenegro";"Central and Eastern Europe";"north";5,161;810;7,029;31;114;128;2,10720996964787;0,846893543316625
